Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
TakeByteString/ExMemory 216/ExMemory 131072,1.694200284385831e-6,1.6807679879140782e-6,1.7251268674623332e-6,6.529825732569843e-8,3.040589626643802e-8,1.1815749841285292e-7
TakeByteString/ExMemory 432/ExMemory 0,1.794403141493535e-6,1.7511919936877079e-6,1.8447958781796163e-6,1.5951370561889833e-7,1.328553425606296e-7,1.8024004491441588e-7
TakeByteString/ExMemory 432/ExMemory 0,1.688610663768184e-6,1.6755460420954759e-6,1.7189781936580474e-6,5.762457183899323e-8,3.2819163991044986e-8,9.915507935120986e-8
TakeByteString/ExMemory 432/ExMemory 1,1.74212340432666e-6,1.6845615942984287e-6,2.062822179263417e-6,3.480242690240011e-7,5.893666114074165e-8,8.354640710225265e-7
TakeByteString/ExMemory 432/ExMemory 2,1.6979433176646195e-6,1.6854655450161009e-6,1.7218406118920246e-6,5.340074035798944e-8,3.04690403544952e-8,8.352121956883732e-8
TakeByteString/ExMemory 432/ExMemory 4,1.688759685065626e-6,1.6799020767338646e-6,1.7014299335068789e-6,3.497560984358841e-8,2.4450872418887935e-8,5.235316787583907e-8
TakeByteString/ExMemory 432/ExMemory 8,1.7611004859286271e-6,1.6957224791482014e-6,1.9310539987128005e-6,3.8199516760308476e-7,6.513381992470347e-8,7.249234195880611e-7
TakeByteString/ExMemory 432/ExMemory 16,1.7347804160552475e-6,1.7105805323004818e-6,1.7846595479333087e-6,1.1091269692763649e-7,7.819309419952821e-8,1.7695111935749252e-7
TakeByteString/ExMemory 432/ExMemory 32,1.6928204451845982e-6,1.6803380065720152e-6,1.71662063561538e-6,5.296867691617585e-8,3.278708718613837e-8,8.121342443597668e-8
TakeByteString/ExMemory 432/ExMemory 64,1.7006791630662642e-6,1.683122795049833e-6,1.7394027320744245e-6,8.259540201950088e-8,3.442884870149435e-8,1.5326987754531587e-7
TakeByteString/ExMemory 432/ExMemory 128,1.6966459751495532e-6,1.6800200566581848e-6,1.7262727425606785e-6,7.02732109794274e-8,3.510345897361648e-8,1.0956530946076967e-7
TakeByteString/ExMemory 432/ExMemory 256,1.6938957268702719e-6,1.678770042007247e-6,1.7377441315712752e-6,8.322670035117087e-8,3.831739811642568e-8,1.529162779886982e-7
TakeByteString/ExMemory 432/ExMemory 512,1.693692051377359e-6,1.6798616615070934e-6,1.725940885525181e-6,6.590928999638176e-8,3.7531377179239826e-8,1.1669476254549203e-7
TakeByteString/ExMemory 432/ExMemory 1024,1.7078117594570395e-6,1.6817501555155414e-6,1.7434998345030467e-6,1.0175747420857948e-7,6.004857936463905e-8,1.40576371928021e-7
TakeByteString/ExMemory 432/ExMemory 2048,1.7577286550957094e-6,1.719415645502647e-6,1.8014332234011999e-6,1.414444360285368e-7,1.1010635712471293e-7,1.7200357462548992e-7
TakeByteString/ExMemory 432/ExMemory 4096,1.7004288352189112e-6,1.6879346899554556e-6,1.7267966496373982e-6,5.6397286904508524e-8,3.852344213016856e-8,9.158574906785996e-8
TakeByteString/ExMemory 432/ExMemory 8192,1.6984168570664328e-6,1.6803752662611965e-6,1.7579782386521666e-6,8.995187350808795e-8,3.194461556785498e-8,1.7752378479156926e-7
TakeByteString/ExMemory 432/ExMemory 16384,1.690090030594395e-6,1.6777508565008979e-6,1.7223037232278468e-6,6.127274342243353e-8,3.830323981107969e-8,1.0232766377717962e-7
TakeByteString/ExMemory 432/ExMemory 32768,1.692523616079409e-6,1.6828975898094512e-6,1.7064644088316728e-6,3.982831899290094e-8,2.575956687225789e-8,6.305662868923855e-8
TakeByteString/ExMemory 432/ExMemory 65536,1.749346256929374e-6,1.691910377540267e-6,1.967708055207884e-6,3.52111472096785e-7,4.086081063859406e-8,7.441282710966474e-7
TakeByteString/ExMemory 432/ExMemory 131072,1.7615469489699032e-6,1.7003752443953522e-6,1.972423805142403e-6,3.5767551004542635e-7,9.309583408907863e-8,7.408326235710299e-7
TakeByteString/ExMemory 865/ExMemory 0,1.79884277311212e-6,1.7498897129685766e-6,1.8540084944466395e-6,1.6656580665942732e-7,1.4551480814879437e-7,1.815941385827272e-7
TakeByteString/ExMemory 865/ExMemory 0,1.7052660519240428e-6,1.6847045266297625e-6,1.736380452726054e-6,8.995444685877287e-8,5.3361835533609087e-8,1.409583535803357e-7
TakeByteString/ExMemory 865/ExMemory 1,1.8292313540146016e-6,1.753868658311842e-6,2.0999878718593102e-6,4.075203908449314e-7,1.530821983093012e-7,8.789421985471656e-7
TakeByteString/ExMemory 865/ExMemory 2,1.7511095928168988e-6,1.7195931318213183e-6,1.7983947338539495e-6,1.2982877029714914e-7,9.977314696094968e-8,1.9509946537373909e-7
TakeByteString/ExMemory 865/ExMemory 4,1.7823770604149323e-6,1.694813496192742e-6,2.1480302382068868e-6,5.202813871449628e-7,7.719528103263736e-8,1.1885534463721954e-6
TakeByteString/ExMemory 865/ExMemory 8,1.6899724073119833e-6,1.6767422427040045e-6,1.714326850363823e-6,5.7676550331470465e-8,3.301077010826293e-8,8.846118502485628e-8
TakeByteString/ExMemory 865/ExMemory 16,1.7466893274218807e-6,1.6848519301517545e-6,2.0260906389296653e-6,3.7701935958213607e-7,4.1460774209133974e-8,8.60702460703607e-7
TakeByteString/ExMemory 865/ExMemory 32,1.7605552567658074e-6,1.7295528853299988e-6,1.79341053283056e-6,1.0378521571635769e-7,8.990300096666164e-8,1.336311742452704e-7
TakeByteString/ExMemory 865/ExMemory 64,1.8010084378830215e-6,1.7340396043821018e-6,2.0377305017486725e-6,3.8536803357660643e-7,1.343020637010178e-7,7.804474570784273e-7
TakeByteString/ExMemory 865/ExMemory 128,1.699501883187264e-6,1.6849729960903787e-6,1.7255346231120273e-6,6.70907546686883e-8,3.457990151695748e-8,1.128044141606514e-7
TakeByteString/ExMemory 865/ExMemory 256,1.7039511343044976e-6,1.6849427951944674e-6,1.7412323953884292e-6,9.515734817593266e-8,4.8261144671168536e-8,1.5998423510596154e-7
TakeByteString/ExMemory 865/ExMemory 512,1.7658719331473313e-6,1.692943553881847e-6,2.03981842613039e-6,4.489145787782445e-7,5.0489233075964874e-8,9.490491510228892e-7
TakeByteString/ExMemory 865/ExMemory 1024,1.7690852642639243e-6,1.7380202165144139e-6,1.8292622890630863e-6,1.560763427614914e-7,1.0458860988858966e-7,2.5926766860837414e-7
TakeByteString/ExMemory 865/ExMemory 2048,1.7430240145958402e-6,1.6806733571029243e-6,1.9795167216093024e-6,3.891641653351231e-7,4.013246476746195e-8,8.237956717022106e-7
TakeByteString/ExMemory 865/ExMemory 4096,1.7155223549915566e-6,1.6932298017261695e-6,1.7519925855140239e-6,8.925856964973333e-8,5.6349090556090947e-8,1.3052035502922404e-7
